English,Telugu
Fungal infection,ఫంగల్ ఇన్ఫెక్షన్
Allergy,అలర్జీ
GERD,జీఈఆర్డీ
Chronic cholestasis,దీర్ఘకాలిక కొలెస్టేసిస్
Drug Reaction,మలిన మందుల ప్రతిచర్య
Peptic ulcer disease,పెప్టిక్ అల్సర్ వ్యాధి
AIDS,ఎయిడ్స్
Diabetes,డయాబెటిస్
Gastroenteritis,గ్యాస్ట్రోఎంటరైటిస్
Bronchial Asthma,బ్రాంకియల్ ఆస్త్మా
Hypertension,అధిక రక్తపోటు
Migraine,మైగ్రేన్
Cervical spondylosis,సర్వైకల్ స్పాండిలోసిస్
Paralysis (brain hemorrhage),మస్తిష్క రక్తస్రావంతో కలిగే జబ్బు
Jaundice,పాండురోగం
Malaria,మలేరియా
Chicken pox,చికెన్‌పాక్స్
Dengue,డెంగ్యూ
Typhoid,టైఫాయిడ్
hepatitis A,హెపటైటిస్ ఎ
Hepatitis B,హెపటైటిస్ బి
Hepatitis C,హెపటైటిస్ సి
Hepatitis D,హెపటైటిస్ డి
Hepatitis E,హెపటైటిస్ ఈ
Alcoholic hepatitis,మద్యం వల్ల కలిగే హెపటైటిస్
Tuberculosis,క్షయవ్యాధి
Common Cold,సాధారణ జలుబు
Pneumonia,న్యుమోనియా
Dimorphic hemmorhoids(piles),ద్విస్వరూప హెమరాయిడ్స్ (మలవిసర్జన నాళంలో నరాల వాపు)
Heart attack,గుండెపోటు
Varicose veins,వరికోస్ వెయిన్స్
Hypothyroidism,హైపోథైరాయిడిజం
Hyperthyroidism,హైపర్‌థైరాయిడిజం
Hypoglycemia,తక్కువ రక్తంలోని చక్కెర స్థాయి
Osteoarthristis,ఆస్టియోఆర్థ్రిటిస్
Arthritis,ఆర్థ్రిటిస్
(vertigo) Paroymsal Positional Vertigo,(వెర్టిగో) పరాక్రమ స్థానిక వెర్టిగో
Acne,ముడతలు
Urinary tract infection,మూత్ర నాళంలో సంభవించే ఇన్ఫెక్షన్
Psoriasis,సోరియాసిస్
Impetigo,ఇంపెటైగో
